algorithm,sample_id,final_var,final_mean_s,min_s_over_episode,soft_penalty_sum,elapsed_sec
PPO_deterministic,-1,0.30698856527752993,14.292957507827472,13.467325465363533,0.25,0.06731724739074707
PPO_stochastic,0,0.38846163058489147,14.299455941347325,13.283311698337759,0.3,0.07888388633728027
PPO_stochastic,1,0.6300719703550175,14.270952827250646,11.29741714883183,0.45,0.06854057312011719
PPO_stochastic,2,0.37646543179235137,14.30175118088319,12.940532690850972,0.35,0.06597161293029785
PPO_stochastic,3,0.3217576990376674,14.363721843564942,13.44907255276744,0.35,0.0712883472442627
PPO_stochastic,4,0.44375032669798153,14.138217444898562,12.937034883866634,0.55,0.06371903419494629
PPO_stochastic,5,0.22502351041776086,14.14052108204632,13.086329480967724,0.5499999999999999,0.06394600868225098
PPO_stochastic,6,0.27138328037388065,14.320790277191506,13.523719851317981,0.39999999999999997,0.06297683715820312
PPO_stochastic,7,0.21708096090974593,14.21288968061209,13.361456803872638,0.49999999999999994,0.061919212341308594
PPO_stochastic,8,0.638597655105418,14.234379864253038,11.387554118572073,0.49999999999999994,0.06377530097961426
PPO_stochastic,9,0.3252518264379002,14.126912048331391,12.937034883866634,0.44999999999999996,0.06722021102905273
PPO_stochastic,10,0.28137778112439277,14.18204665325361,13.30677356963502,0.49999999999999994,0.06959652900695801
PPO_stochastic,11,0.32653625334700004,14.251388210684947,12.937034883866634,0.44999999999999996,0.06640434265136719
PPO_stochastic,12,0.45346421039766205,14.207633495414877,12.937034883866634,0.5499999999999999,0.06800389289855957
PPO_stochastic,13,0.27115130811234006,14.192371918665435,13.30677356963502,0.39999999999999997,0.07075262069702148
PPO_stochastic,14,0.6759034817954827,14.17629798009771,11.859450950382541,0.6000000000000001,0.06915426254272461
PPO_stochastic,15,0.28747857092900375,14.262596532968619,13.412642231125918,0.39999999999999997,0.08183073997497559
PPO_stochastic,16,0.3953210791991366,14.134162349260118,12.937034883866634,0.39999999999999997,0.07295107841491699
PPO_stochastic,17,0.3461643895983167,14.232920460738509,13.212162206771549,0.44999999999999996,0.07205891609191895
PPO_stochastic,18,0.3647796050495121,14.386593160150388,13.160976779518268,0.3,0.06794905662536621
PPO_stochastic,19,0.29709459167880053,14.290757632174754,13.291269242397082,0.39999999999999997,0.06652331352233887
PPO_stochastic,20,0.31281862899267227,14.230401959614497,13.086329480967724,0.35,0.06841659545898438
PPO_stochastic,21,0.38529768671733733,14.122303292014081,12.937034883866634,0.55,0.06421422958374023
PPO_stochastic,22,0.34296339531762204,14.229222935758704,13.374425254216895,0.5499999999999999,0.06544923782348633
PPO_stochastic,23,0.2841867230339552,14.318166527890266,13.303275762650685,0.35,0.06246018409729004
PPO_stochastic,24,0.38472632841422066,14.287342579283468,13.137514908221004,0.5499999999999999,0.0633084774017334
PPO_stochastic,25,0.3343744005695485,14.251614479557455,12.937034883866634,0.5,0.06303882598876953
PPO_stochastic,26,0.3394753251491309,14.24642313882643,13.22862846410014,0.5499999999999999,0.06495499610900879
PPO_stochastic,27,0.9794213858719674,14.175428304349587,10.318478898357245,0.5,0.05968523025512695
PPO_stochastic,28,0.41193088794059907,14.204041461658392,12.937034883866634,0.49999999999999994,0.06291031837463379
PPO_stochastic,29,0.43952426744736034,14.108553822143191,13.232126271084478,0.8500000000000002,0.06670928001403809
PPO_stochastic,30,0.3823826000781314,14.283396632982408,12.791238093749882,0.25,0.06138014793395996
PPO_stochastic,31,0.3273924069603193,14.380078027531765,13.374425254216895,0.49999999999999994,0.0732736587524414
PPO_stochastic,32,0.3469465923990017,14.268065441628488,12.791238093749882,0.35,0.06587839126586914
PPO_stochastic,33,0.42027997615205126,14.150323677344574,12.937034883866634,0.44999999999999996,0.06713032722473145
PPO_stochastic,34,0.32986180107551316,14.329621415026232,13.44907255276744,0.39999999999999997,0.06391024589538574
PPO_stochastic,35,0.32892490896781346,14.129341321676943,12.991718118104252,0.5499999999999999,0.06593585014343262
